Date,Actual_Close_USD,Predicted_Close_USD
2025-02-11,2912.5,2841.236189156382
2025-02-12,2909.0000000000005,2841.236189156382
2025-02-13,2925.8999023437505,2901.5580189557263
2025-02-14,2883.60009765625,2862.1835396728197
2025-02-18,2931.60009765625,2981.940956192568
2025-02-19,2919.39990234375,2948.2710232459544
2025-02-20,2940.0,3022.7759496231756
2025-02-21,2937.60009765625,2969.6766694048197
2025-02-24,2947.8999023437495,2962.8587266330596
2025-02-25,2904.5,2948.750449433175
2025-02-26,2916.800048828125,2955.6824001188065
2025-02-27,2883.1999511718755,2957.3265936832995
2025-02-28,2836.800048828125,2946.0020231898857
2025-03-03,2890.1999511718755,2958.8392603873453
2025-03-04,2909.60009765625,2981.624375351828
2025-03-05,2915.300048828125,2949.8637650119654
2025-03-06,2916.60009765625,2946.3877903934886
2025-03-07,2904.699951171875,2886.256216353959
2025-03-10,2891.0,2936.6153716144804
2025-03-11,2912.89990234375,2893.675166802177
2025-03-12,2939.10009765625,2937.8880287504358
2025-03-13,2984.300048828125,2903.239541352539
2025-03-14,2994.5,2899.5598887659476
2025-03-17,3000.0,2887.7403136989738
2025-03-18,3035.1000976562495,2916.0897695226904
2025-03-19,3035.89990234375,2932.7609068932866
2025-03-20,3040.0000000000005,2987.162276077845
2025-03-21,3018.1999511718755,3009.7489957104112
2025-03-24,3013.1000976562505,3032.2749650266965
2025-03-25,3023.699951171875,3022.0270820376168
2025-03-26,3020.89990234375,2995.9447396141836
2025-03-27,3060.199951171875,3052.207618157454
2025-03-28,3086.5,3069.583178893757
2025-03-31,3122.800048828125,3127.9208128039068
2025-04-01,3118.89990234375,3079.928278560221
2025-04-02,3139.89990234375,3058.892821218619
2025-04-03,3097.0,3026.946348331698
2025-04-04,3012.0,2975.6322487694338
2025-04-07,2951.300048828125,2997.938773065686
2025-04-08,2968.39990234375,3038.151816940621
2025-04-09,3056.5,3112.2727819133474
2025-04-10,3155.1999511718745,3116.484336670211
2025-04-11,3222.199951171875,3079.332149236579
2025-04-14,3204.800048828125,3030.9589417599095
2025-04-15,3218.6999511718745,2987.063496171382
2025-04-16,3326.6000976562505,3004.8055532700546
2025-04-17,3308.699951171875,2931.5929052489537
2025-04-21,3406.199951171875,3005.889490923048
2025-04-22,3400.800048828125,3012.313338253525
2025-04-23,3276.300048828125,3049.6882588787016
2025-04-24,3332.0,3162.5036984849326
2025-04-25,3282.39990234375,3145.3602503146485
2025-04-28,3332.5,3385.3898708612246
2025-04-29,3318.8000488281245,3395.9460873100415
2025-04-30,3305.0,3534.9263161975146
2025-05-01,3210.0,3420.4833934066014
2025-05-02,3231.89990234375,3282.6910569058814
2025-05-05,3311.300048828125,3284.2281423262316
2025-05-06,3411.39990234375,3232.7028181727114
2025-05-07,3381.3999023437495,3245.5231832770073
2025-05-08,3296.60009765625,3161.2030918911328
2025-05-09,3335.39990234375,3078.3342161351607
2025-05-12,3220.0,3027.08779361113
2025-05-13,3240.3000488281255,2987.3101898913974
2025-05-14,3181.39990234375,3150.422147786084
2025-05-15,3220.699951171875,3274.1935592497703
2025-05-16,3182.0,3315.4798407441745
2025-05-19,3228.89990234375,3273.7790879260083
2025-05-20,3280.300048828125,3241.386286184783
2025-05-21,3309.300048828125,3251.0629976110354
2025-05-22,3292.300048828125,3237.494708249073
2025-05-23,3363.60009765625,3241.856548615333
2025-05-27,3299.10009765625,3047.404030815225
2025-05-28,3293.60009765625,3080.509341589808
2025-05-29,3317.10009765625,2987.6598950172793
2025-05-30,3288.89990234375,3189.55769558992
2025-06-02,3370.60009765625,3253.2552377288757
2025-06-03,3350.199951171875,3322.4381507063463
2025-06-04,3373.5,3345.0955929786282
2025-06-05,3350.699951171875,3335.334305468752
2025-06-06,3322.6999511718755,3317.9093682553303
2025-06-09,3332.10009765625,3357.379069750934
2025-06-10,3320.8999023437495,3253.48869790617
2025-06-11,3321.300048828125,3281.5343212918083
2025-06-12,3380.89990234375,3219.4742885654214
2025-06-13,3431.199951171875,3206.191800602677
2025-06-16,3396.39990234375,3242.3032548007945
2025-06-17,3386.60009765625,3207.2608875794194
2025-06-18,3389.800048828125,3321.3618405331695
2025-06-20,3368.10009765625,3267.6997439418915
2025-06-23,3377.699951171875,3300.4426550923813
2025-06-24,3317.39990234375,3238.769225088588
2025-06-25,3327.10009765625,3251.0724847944116
2025-06-26,3333.5,3292.0129692356318
2025-06-27,3273.699951171875,3263.3093342166
2025-06-30,3294.39990234375,3334.413725254523
2025-07-01,3336.6999511718745,3316.116128883814
2025-07-02,3348.0,3335.0908190635714
2025-07-03,3331.6000976562505,3255.2198932545816
2025-07-04,3332.5,3182.709674134501
2025-07-07,3332.199951171875,3169.972645311456
2025-07-08,3307.0,3116.065984225977
2025-07-09,3311.60009765625,3187.3077238050555
2025-07-10,3317.39990234375,3221.8254390048187
2025-07-11,3356.0,3302.3076951926337
2025-07-14,3351.4999999999995,3315.680904346416
2025-07-15,3329.800048828125,3311.4137741005684
2025-07-16,3352.4999999999995,3352.3053672047286
2025-07-17,3340.10009765625,3311.5312858037546
2025-07-18,3353.0,3326.094327904526
2025-07-21,3401.89990234375,3325.6533894953213
2025-07-22,3439.199951171875,3304.0452512662637
2025-07-23,3394.1000976562505,3290.9686244019
2025-07-24,3371.0,3249.289541173037
2025-07-25,3334.0,3295.4739045122788
2025-07-28,3309.10009765625,3298.7546372092224
2025-07-29,3323.39990234375,3312.4436186369803
2025-07-30,3295.800048828125,3300.544372791424
2025-07-31,3293.199951171875,3305.019628122594
2025-08-01,3347.699951171875,3315.268104060635
2025-08-04,3374.3999023437495,3267.603524496851
2025-08-05,3381.89990234375,3280.1135077722715
2025-08-06,3380.0,3241.1086782621173
2025-08-07,3400.300048828125,3267.154338706643
2025-08-08,3439.10009765625,3236.467019890701
2025-08-11,3353.10009765625,3173.176132930112
2025-08-12,3348.89990234375,3217.5876327803167
2025-08-13,3358.699951171875,3240.917263556606
2025-08-14,3335.199951171875,3346.008303143011
2025-08-15,3336.0,3368.350619994729
2025-08-18,3331.6999511718745,3387.7361159955803
2025-08-19,3313.39990234375,3389.282203459248
2025-08-20,3343.39990234375,3369.8513199106524
2025-08-21,3336.89990234375,3310.255852588573
2025-08-22,3374.3999023437495,3299.625355806274
2025-08-25,3373.800048828125,3209.3389580700355
2025-08-26,3388.60009765625,3231.4183290097612
2025-08-27,3404.60009765625,3187.3451873985027
2025-08-28,3431.8000488281255,3233.4022823289265
2025-08-29,3473.699951171875,3266.3304630775133
2025-09-02,3549.39990234375,3314.7571437695774
2025-09-03,3593.199951171875,3371.5212258982738
2025-09-04,3565.8000488281245,3387.802418470314
2025-09-05,3613.199951171875,3424.0397934659745
2025-09-08,3638.1000976562505,3460.3426623696037
2025-09-09,3643.300048828125,3468.0415116796544
2025-09-10,3643.60009765625,3492.8824076442634
2025-09-11,3636.89990234375,3500.938589560013
2025-09-12,3649.39990234375,3534.437834062526
2025-09-15,3682.199951171875,3538.73542032319
2025-09-16,3688.8999023437495,3523.1052857103637
2025-09-17,3681.8000488281255,3537.4282373863675
2025-09-18,3643.699951171875,3498.9856852046255
2025-09-19,3671.5,3515.5157007224957
2025-09-22,3740.699951171875,3476.2352038499125
2025-09-23,3780.60009765625,3450.7505270269753
2025-09-24,3732.10009765625,3408.1005707310974
2025-09-25,3736.89990234375,3426.285183372504
2025-09-26,3775.300048828125,3488.188839286531
2025-09-29,3820.89990234375,3496.484303060283
2025-09-30,3840.800048828125,3485.5032117286605
2025-10-01,3867.5,3526.504338677259
2025-10-02,3839.6999511718745,3572.226417444699
2025-10-03,3880.800048828125,3648.162965183883
2025-10-06,3948.5,3637.370970666379
2025-10-07,3976.60009765625,3662.6119454663317
2025-10-08,4043.300048828125,3701.518237640052
2025-10-09,3946.300048828125,3702.0287127910506
2025-10-10,3975.89990234375,3774.2135646448774
2025-10-13,4108.60009765625,3787.5441892823674
2025-10-14,4138.7001953125,3742.869096666758
2025-10-15,4176.89990234375,3737.998128760775
2025-10-16,4280.2001953125,3773.5117825972698
2025-10-17,4189.89990234375,3820.5216926036223
2025-10-20,4336.39990234375,3918.802336041408
2025-10-21,4087.6999511718745,3809.74700141489
2025-10-22,4044.39990234375,3989.434955324153
2025-10-23,4125.5,3985.715871631653
