epoch,iter,loss_D,loss_G,gp
1,0,9.840253829956055,0.08440721035003662,9.910232543945312
1,1,9.662286758422852,0.0984116941690445,9.81875228881836
1,2,9.326559066772461,0.11644697189331055,9.642330169677734
1,3,9.082219123840332,0.11897100508213043,9.493204116821289
1,4,8.786079406738281,0.1170557290315628,9.319543838500977
1,5,8.40071964263916,0.12093210220336914,9.072736740112305
1,6,7.991194248199463,0.11289875954389572,8.8051118850708
1,7,7.497018337249756,0.08663157373666763,8.534398078918457
1,8,7.154688358306885,0.0895427018404007,8.314693450927734
1,9,6.964946746826172,0.05892746150493622,8.125937461853027
1,10,6.753485679626465,0.024988576769828796,7.964597702026367
1,11,6.3444719314575195,-0.009143149480223656,7.674116611480713
1,12,6.008225440979004,-0.07315604388713837,7.449149131774902
1,13,5.817387580871582,-0.11489715427160263,7.314453125
1,14,5.803243160247803,-0.1604142189025879,7.26090669631958
1,15,5.478125095367432,-0.232619047164917,7.091739654541016
1,16,5.535056114196777,-0.30964839458465576,7.0277099609375
1,17,5.35382080078125,-0.34771522879600525,6.909682750701904
1,18,5.2921295166015625,-0.4139750599861145,6.9736247062683105
1,19,5.24789571762085,-0.4724997282028198,6.841912269592285
1,20,5.123037338256836,-0.5818756222724915,6.754245758056641
1,21,4.892862319946289,-0.6607307195663452,6.563249588012695
1,22,5.0331573486328125,-0.744682252407074,6.56790018081665
1,23,5.1490349769592285,-0.7857056856155396,6.603734970092773
1,24,5.216426849365234,-0.8396600484848022,6.584710121154785
1,25,4.957833766937256,-0.9672168493270874,6.542047500610352
1,26,5.14216423034668,-0.9494720101356506,6.6505842208862305
1,27,5.0259809494018555,-1.0277053117752075,6.4151787757873535
1,28,4.857279300689697,-1.0947805643081665,6.441135406494141
1,29,4.929955959320068,-1.0948131084442139,6.48712682723999
1,30,4.801327228546143,-1.1188925504684448,6.515405178070068
1,31,4.643430709838867,-1.1785125732421875,6.466080665588379
1,32,4.849817276000977,-1.0627965927124023,6.657306671142578
1,33,5.021903038024902,-1.0529305934906006,6.638501167297363
1,34,4.6567511558532715,-1.1239150762557983,6.505208969116211
1,35,4.764280319213867,-1.1244490146636963,6.483320236206055
1,36,4.386168003082275,-1.13931405544281,6.513628959655762
1,37,4.4442458152771,-1.0092036724090576,6.5106916427612305
1,38,4.528689384460449,-1.00160551071167,6.456841468811035
1,39,4.270542144775391,-0.9635646939277649,6.470207214355469
1,40,4.307595252990723,-0.8971829414367676,6.452411651611328
1,41,4.332402229309082,-0.8123552799224854,6.482090950012207
1,42,3.1211957931518555,-0.8813554644584656,6.048157691955566
1,43,4.446994781494141,-0.6040357351303101,6.660634994506836
1,44,4.011291027069092,-0.5642222166061401,6.461949825286865
1,45,3.5420918464660645,-0.5244348049163818,6.266019821166992
1,46,3.7175521850585938,-0.4398011565208435,6.350492477416992
1,47,3.2015461921691895,-0.3803281784057617,6.186363697052002
1,48,3.7076189517974854,-0.26790887117385864,6.451936721801758
1,49,3.0683813095092773,-0.17367982864379883,6.1764912605285645
1,50,3.324953079223633,-0.1090700775384903,6.244682312011719
1,51,2.920818567276001,-0.06176760047674179,6.068863868713379
1,52,3.016049385070801,0.0018078879220411181,6.139287948608398
1,53,2.741687536239624,0.08188047260046005,6.074398994445801
1,54,2.4622299671173096,0.0820821225643158,5.913488864898682
1,55,2.562842607498169,0.12148232758045197,5.955005645751953
1,56,2.374709367752075,0.07402880489826202,5.761773109436035
1,57,2.329209566116333,0.16743695735931396,5.784614086151123
1,58,1.888641119003296,0.14148840308189392,5.578619956970215
1,59,1.782958745956421,0.2592521607875824,5.603590488433838
1,60,2.2301154136657715,0.2930073142051697,5.766648292541504
1,61,1.7401297092437744,0.20040760934352875,5.475811958312988
1,62,0.9841861724853516,0.24066311120986938,5.08394193649292
1,63,1.6225552558898926,0.16467134654521942,5.146465301513672
1,64,1.499605655670166,0.1911880075931549,5.110503196716309
1,65,0.7033557891845703,0.23141340911388397,4.782440662384033
1,66,0.7002415657043457,0.15236088633537292,4.712989807128906
1,67,0.5300769805908203,0.13125596940517426,4.667013168334961
1,68,0.25378942489624023,0.07959669828414917,4.391580104827881
1,69,0.2327275276184082,-0.022812478244304657,4.245214462280273
1,70,-0.6871161460876465,-0.4445178508758545,3.657195568084717
1,71,0.5228793621063232,-0.4132777154445648,4.105076789855957
1,72,-0.4552030563354492,-0.28842446208000183,3.6388959884643555
1,73,-0.6616778373718262,-0.34078967571258545,3.630223274230957
1,74,-1.2507362365722656,-0.4224146008491516,3.3508992195129395
1,75,-1.8366475105285645,-0.6249486207962036,3.1376280784606934
1,76,-1.5380463600158691,-0.6448866128921509,3.075869560241699
1,77,-1.8576295375823975,-0.6006361246109009,2.912466287612915
1,78,-2.7756946086883545,-0.770976722240448,2.413715124130249
