Date,Close,High,Low,Open,Vol,Change_%
,GC=F,GC=F,GC=F,GC=F,GC=F,
2025-01-03,2645.0,2658.699951171875,2641.800048828125,2658.699951171875,591,-0.5227689215189235
2025-01-06,2638.39990234375,2647.0,2617.300048828125,2645.5,960,-0.2495311023156921
2025-01-07,2656.699951171875,2657.5,2653.0,2653.39990234375,643,0.6936040594857751
2025-01-08,2664.5,2676.89990234375,2653.5,2655.5,999,0.2935991633034929
2025-01-09,2683.800048828125,2686.300048828125,2667.89990234375,2669.699951171875,1139,0.7243403575952323
2025-01-10,2708.5,2720.10009765625,2683.699951171875,2686.10009765625,403,0.9203349997202626
2025-01-13,2673.5,2711.199951171875,2673.5,2711.10009765625,765,-1.2922281705741168
2025-01-14,2677.5,2688.300048828125,2670.800048828125,2673.60009765625,794,0.14961660744343686
2025-01-15,2712.5,2712.5,2690.800048828125,2690.800048828125,930,1.3071895424836555
2025-01-16,2746.39990234375,2749.800048828125,2731.699951171875,2731.699951171875,1721,1.2497659850230436
2025-01-17,2744.300048828125,2751.60009765625,2725.5,2736.0,1214,-0.07645840337501264
2025-01-21,2755.0,2755.0,2724.800048828125,2746.0,1439,0.38989727732010593
2025-01-22,2767.60009765625,2768.800048828125,2753.5,2754.5,2079,0.45735381692377786
2025-01-23,2763.10009765625,2765.0,2745.39990234375,2760.0,2201,-0.16259574509376318
2025-01-24,2777.300048828125,2792.0,2759.800048828125,2759.800048828125,1593,0.5139137443453512
2025-01-27,2737.5,2762.199951171875,2737.5,2761.10009765625,984,-1.4330482169155112
2025-01-28,2766.800048828125,2766.800048828125,2738.0,2738.0,2307,1.0703214183789944
2025-01-29,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692,0.08313028724642457
2025-01-30,2823.0,2829.5,2770.0,2772.5,40141,1.9464772107505413
2025-01-31,2812.5,2838.0,2804.0,2829.0,3443,-0.37194473963868546
2025-02-03,2833.89990234375,2848.39990234375,2780.89990234375,2818.199951171875,2649,0.7608854166666568
2025-02-04,2853.300048828125,2853.300048828125,2816.10009765625,2827.60009765625,2187,0.6845741611526401
2025-02-05,2871.60009765625,2880.5,2848.0,2850.0,4519,0.6413643330515084
2025-02-06,2856.0,2871.699951171875,2836.300048828125,2865.199951171875,3116,-0.5432545314712378
2025-02-07,2867.300048828125,2889.5,2857.800048828125,2859.89990234375,1822,0.39565997297357214
2025-02-10,2914.300048828125,2916.10009765625,2863.800048828125,2864.199951171875,2237,1.6391727129920985
2025-02-11,2912.5,2945.39990234375,2890.0,2925.5,2554,-0.06176607754746488
2025-02-12,2909.0,2912.300048828125,2868.60009765625,2902.0,2504,-0.1201716738197467
2025-02-13,2925.89990234375,2937.699951171875,2910.60009765625,2911.300048828125,4670,0.5809522978257098
2025-02-14,2883.60009765625,2944.39990234375,2874.800048828125,2937.300048828125,1992,-1.445702385567471
2025-02-18,2931.60009765625,2936.39990234375,2873.800048828125,2879.199951171875,4010,1.664585877875835
2025-02-19,2919.39990234375,2946.0,2917.10009765625,2938.699951171875,2630,-0.41616164913672593
2025-02-20,2940.0,2955.800048828125,2924.199951171875,2949.10009765625,656,0.7056278120620485
2025-02-21,2937.60009765625,2940.0,2917.300048828125,2938.800048828125,570,-0.08162933142006334
